#Date;Time;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp;INV;Status;SolIrr;TmpMod;TmpAmb;Wind;DaySumIrr
12/10/20;00:00:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:05:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:10:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:15:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:20:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:25:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:30:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:35:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:40:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:45:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:50:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;00:55:00;1;0;0;0;0;0;0;0;0;0;2;0;0;22;0;0.0;0
12/10/20;01:00:00;1;0;0;1;0;0;8;208;207;18;2;0;0;22;0;0.0;0
12/10/20;01:05:00;1;0;0;1;0;0;14;367;367;27;2;0;2;22;0;0.0;0
12/10/20;01:10:00;1;0;0;1;0;0;15;389;389;27;2;0;6;22;0;0.0;0
12/10/20;01:15:00;1;41;11;6;0;5;55;378;377;27;2;0;10;22;0;0.0;1
12/10/20;01:20:00;1;148;30;6;0;6;153;345;345;28;2;0;16;22;0;0.0;2
12/10/20;01:25:00;1;196;55;6;0;0;209;354;354;29;2;0;22;22;0;0.0;4
12/10/20;01:30:00;1;256;82;6;0;4;268;358;358;29;2;0;28;22;0;0.0;7
12/10/20;01:35:00;1;322;115;6;0;16;325;362;362;30;2;0;35;22;0;0.0;10
12/10/20;01:40:00;1;381;154;6;0;34;370;365;365;30;2;0;42;23;0;0.0;13
12/10/20;01:45:00;1;443;197;6;0;64;405;368;368;30;2;0;49;23;0;0.0;17
12/10/20;01:50:00;1;512;248;6;0;105;437;370;370;31;2;0;57;23;0;0.0;22
12/10/20;01:55:00;1;570;303;6;0;137;466;372;372;31;2;0;63;23;0;0.0;27
12/10/20;02:00:00;1;642;364;6;0;181;499;374;374;32;2;0;71;24;0;0.0;33
12/10/20;02:05:00;1;733;433;6;0;236;539;376;375;32;2;0;80;24;0;0.0;40
12/10/20;02:10:00;1;807;509;6;0;297;557;377;377;32;2;0;88;24;0;0.0;47
12/10/20;02:15:00;1;869;590;6;0;340;580;377;377;33;2;0;95;25;0;0.0;55
12/10/20;02:20:00;1;946;678;6;0;400;601;378;378;33;2;0;103;25;0;0.0;64
12/10/20;02:25:00;1;1041;770;6;0;465;636;379;379;33;2;0;112;26;0;0.0;73
12/10/20;02:30:00;1;1120;872;6;0;510;675;380;379;34;2;0;122;26;0;0.0;83
12/10/20;02:35:00;1;1219;984;6;0;594;696;380;380;34;2;0;132;27;0;0.0;94
12/10/20;02:40:00;1;1355;1106;6;0;667;767;380;380;34;2;0;146;28;0;0.0;106
12/10/20;02:45:00;1;1453;1237;6;0;719;818;380;380;35;2;0;157;28;0;0.0;119
12/10/20;02:50:00;1;1574;1379;6;0;783;883;380;380;35;2;0;171;29;0;0.0;133
12/10/20;02:55:00;1;1679;1530;6;0;838;939;379;379;36;2;0;182;29;0;0.0;148
12/10/20;03:00:00;1;1683;1681;6;0;840;941;379;378;36;2;0;184;30;0;0.0;163
12/10/20;03:05:00;1;1728;1841;6;0;864;964;379;378;36;2;0;151;24;0;0.0;168
12/10/20;03:10:00;1;1744;1999;6;0;872;974;378;378;36;2;0;191;31;0;0.0;184
12/10/20;03:15:00;1;1774;2158;6;0;887;990;378;378;37;2;0;193;31;0;0.0;200
12/10/20;03:20:00;1;1836;2322;6;0;920;1023;378;378;37;2;0;200;32;0;0.0;216
12/10/20;03:25:00;1;1952;2496;6;0;979;1081;378;378;37;2;0;212;32;0;0.0;233
12/10/20;03:30:00;1;2053;2678;6;0;1032;1134;378;378;37;2;0;222;33;0;0.0;251
12/10/20;03:35:00;1;2190;2868;6;0;1085;1191;378;378;37;2;0;233;33;0;0.0;270
12/10/20;03:40:00;1;2323;3070;6;0;1153;1257;378;378;38;2;0;246;34;0;0.0;290
12/10/20;03:45:00;1;2426;3283;6;0;1214;1319;378;378;38;2;0;260;34;0;0.0;311
12/10/20;03:50:00;1;2574;3506;6;0;1281;1386;378;378;38;2;0;272;35;0;0.0;333
12/10/20;03:55:00;1;2759;3743;6;0;1374;1476;378;378;38;2;0;291;35;0;0.0;356
12/10/20;04:00:00;1;2881;3993;6;0;1445;1548;378;377;38;2;0;306;36;0;0.0;381
12/10/20;04:05:00;1;3040;4260;6;0;1540;1643;377;377;39;2;0;325;37;0;0.0;407
12/10/20;04:10:00;1;3277;4538;6;0;1624;1730;377;376;39;2;0;340;38;0;0.0;433
12/10/20;04:15:00;1;3464;4833;6;0;1718;1823;376;375;39;2;0;358;38;0;0.0;462
12/10/20;04:20:00;1;3408;5127;6;0;1710;1813;374;374;39;2;0;356;38;0;0.0;490
12/10/20;04:25:00;1;3340;5415;6;0;1671;1776;374;374;39;2;0;347;39;0;0.0;518
12/10/20;04:30:00;1;3433;5711;6;0;1724;1827;374;373;40;2;0;357;39;0;0.0;546
12/10/20;04:35:00;1;3720;6026;6;0;1850;1953;374;374;40;2;0;379;40;0;0.0;576
12/10/20;04:40:00;1;2488;6249;6;0;1255;1356;371;371;40;2;0;264;39;0;0.0;597
