#Date,Time,INV,Pac,DaySum,Status,Error,Pdc1,Pdc2,Udc1,Udc2,Temp,INV,Status,SolIrr,TmpMod,TmpAmb,Wind,DaySumIrr
27/4/2020,00:00:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:05:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:10:00,1,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0
27/4/2020,00:15:00,1,0,0,0,0,0,0,0,0,0,2,0,0,25,0,0,0
27/4/2020,00:20:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:25:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:30:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:35:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:40:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:45:00,1,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0
27/4/2020,00:50:00,1,0,0,1,0,1,7,207,206,22,2,0,0,24,0,0,0
27/4/2020,00:55:00,1,0,0,1,0,3,12,358,358,32,2,0,2,24,0,0,0
27/4/2020,01:00:00,1,0,0,1,0,3,13,381,381,32,2,0,4,24,0,0,0
27/4/2020,01:05:00,1,0,0,14,0,2,14,395,395,32,2,0,9,24,0,0,1
27/4/2020,01:10:00,1,133,25,6,0,12,133,343,343,32,2,0,14,24,0,0,2
27/4/2020,01:15:00,1,176,47,6,0,1,187,348,348,33,2,0,18,24,0,0,4
27/4/2020,01:20:00,1,232,72,6,0,5,243,353,353,34,2,0,25,25,0,0,6
27/4/2020,01:25:00,1,312,104,6,0,15,316,358,358,34,2,0,34,25,0,0,8
27/4/2020,01:30:00,1,376,142,6,0,30,368,361,361,35,2,0,40,26,0,0,12
27/4/2020,01:35:00,1,412,182,6,0,44,391,362,362,35,2,0,45,26,0,0,15
27/4/2020,01:40:00,1,466,227,6,0,75,418,365,365,35,2,0,51,26,0,0,20
27/4/2020,01:45:00,1,545,279,6,0,123,453,367,367,36,2,0,60,26,0,0,25
27/4/2020,01:50:00,1,645,340,6,0,180,502,370,370,36,2,0,71,27,0,0,30
27/4/2020,01:55:00,1,708,406,6,0,222,527,371,371,37,2,0,78,27,0,0,37
27/4/2020,02:00:00,1,755,477,6,0,245,553,372,372,37,2,0,83,27,0,0,44
27/4/2020,02:05:00,1,806,552,6,0,286,567,372,372,37,2,0,88,27,0,0,51
27/4/2020,02:10:00,1,843,630,6,0,319,573,372,372,38,2,0,92,28,0,0,59
27/4/2020,02:15:00,1,931,715,6,0,384,601,374,374,38,2,0,101,28,0,0,67
27/4/2020,02:20:00,1,999,807,6,0,441,616,375,374,38,2,0,108,28,0,0,76
27/4/2020,02:25:00,1,1067,904,6,0,477,652,375,375,38,2,0,115,29,0,0,85
27/4/2020,02:30:00,1,1183,1011,6,0,556,696,376,376,39,2,0,129,29,0,0,96
27/4/2020,02:35:00,1,1404,1136,6,0,692,794,378,378,39,2,0,151,29,0,0,108
27/4/2020,02:40:00,1,1791,1296,6,0,897,998,380,379,39,2,0,187,30,0,0,123
27/4/2020,02:45:00,1,1925,1467,6,0,967,1070,379,379,40,2,0,204,31,0,0,140
27/4/2020,02:50:00,1,2842,1713,6,0,1429,1528,382,381,40,2,0,273,33,0,0,162
27/4/2020,02:55:00,1,2963,1969,6,0,1484,1587,380,380,41,2,0,286,34,0,0,185
27/4/2020,03:00:00,1,3222,2247,6,0,1614,1718,378,378,42,2,0,311,36,0,0,210
27/4/2020,03:05:00,1,3213,2536,6,0,1598,1698,376,376,42,2,0,309,38,0,0,220
27/4/2020,03:10:00,1,2858,2784,6,0,1428,1532,375,374,42,2,0,285,38,0,0,243
27/4/2020,03:15:00,1,2934,3029,6,0,1458,1559,375,375,43,2,0,289,38,0,0,266
27/4/2020,03:20:00,1,2803,3268,6,0,1388,1491,374,374,43,2,0,282,39,0,0,288
27/4/2020,03:25:00,1,2778,3511,6,0,1395,1498,374,374,43,2,0,284,39,0,0,311
27/4/2020,03:30:00,1,3148,3781,6,0,1580,1684,375,374,43,2,0,319,39,0,0,336
27/4/2020,03:35:00,1,3864,4107,6,0,1929,2035,375,374,44,2,0,382,40,0,0,366
27/4/2020,03:40:00,1,4359,4475,6,0,2183,2285,374,373,44,2,0,428,41,0,0,400
